ID,创建时间,用户名称,权限等级,操作内容,旧值,新值,详情(注释)
65,2025-01-15 17:54:34,超级管理员,--,测量参数-调试参数-TOC测量 更改 ,开,关,--
66,2025-01-15 17:54:34,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
67,2025-01-15 17:54:34,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,2.000000 ,--
68,2025-01-15 17:54:34,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,2.000000 ,--
69,2025-01-15 17:54:34,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,90 ,80 ,--
70,2025-01-15 17:54:58,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
71,2025-01-15 17:54:58,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
72,2025-01-15 18:00:14,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
73,2025-01-15 18:00:14,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
74,2025-01-16 10:32:05,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
75,2025-01-16 10:46:03,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
76,2025-01-16 11:14:28,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
77,2025-01-16 14:34:45,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
78,2025-01-16 14:37:31,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
79,2025-01-16 14:37:39,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
80,2025-01-16 14:37:39,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
81,2025-01-16 14:37:46,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
82,2025-01-16 14:37:46,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
83,2025-01-16 14:53:41,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
84,2025-01-16 14:53:41,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
85,2025-01-16 14:54:10,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
86,2025-01-16 14:54:11,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
87,2025-01-16 15:27:58,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
88,2025-01-16 15:27:58,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
89,2025-01-16 15:27:58,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,50 ,--
90,2025-01-16 15:51:46,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
91,2025-01-16 15:52:21,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
92,2025-01-16 15:52:21,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
93,2025-01-16 15:52:21,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,80 ,--
94,2025-01-16 15:52:56,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
95,2025-01-16 15:52:56,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
96,2025-01-16 15:52:56,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,50 ,--
97,2025-01-16 16:13:57,超级管理员,--,测量参数-调试参数-反应时间 更改 ,90.000000 ,89.000000 ,--
98,2025-01-16 16:14:17,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,EP,,--
99,2025-01-16 16:24:38,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
100,2025-01-16 16:24:38,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,0.100000 ,--
101,2025-01-16 16:24:38,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,80 ,--
102,2025-01-17 09:29:23,超级管理员,--,试剂管理-更换酸剂-2500.0ml,--,1970-01-01 08:00:07,--
103,2025-01-17 09:41:19,超级管理员,--,试剂管理-更换酸剂-2500.0ml,--,2025-07-17 09:41:19,--
104,2025-01-17 09:46:47,超级管理员,--,试剂管理-更换酸剂-2500.0ml,--,2025-07-17 09:46:47,--
105,2025-01-17 09:46:48,超级管理员,--,试剂管理-更换氧化剂-2500.0ml,--,2025-02-17 09:46:48,--
106,2025-01-17 09:47:07,超级管理员,--,耗材管理-更换泵,--,2028-01-17 09:47:07,--
107,2025-01-17 09:47:30,超级管理员,--,耗材管理-更换紫外灯,--,2025-07-17 09:47:30,--
108,2025-01-17 09:47:31,超级管理员,--,耗材管理-更换树脂层,--,2026-01-17 09:47:31,--
109,2025-01-17 10:24:09,超级管理员,--,硬件校准-泵校准,0.00000000,0.02000000,--
110,2025-01-17 11:19:09,超级管理员,--,硬件校准-泵校准-负输入分压 更改,0.0000,2.0000,--
111,2025-01-17 11:20:58,超级管理员,--,硬件校准-温度校准-负输入分压 更改,0.0000,2.2000,--
112,2025-01-17 11:23:25,超级管理员,--,硬件校准-温度校准-参考电压 更改,0.0000,0.0000,--
113,2025-01-17 11:23:25,超级管理员,--,硬件校准-温度校准-校准电压 更改,0.0000,2.0000,--
114,2025-01-17 11:25:37,超级管理员,--,硬件校准-温度校准-负输入分压 更改,0.0000,1.0000,--
115,2025-01-17 11:25:37,超级管理员,--,硬件校准-温度校准-参考电压 更改,0.0000,0.0000,--
116,2025-01-17 11:25:37,超级管理员,--,硬件校准-温度校准-校准电压 更改,0.0000,3.0000,--
117,2025-01-17 11:29:06,超级管理员,--,系统参数-显示屏-自动暗屏时间 更改 ,300 ,299 ,--
118,2025-01-17 13:34:08,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
119,2025-01-17 13:34:08,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.100000 ,2.000000 ,--
120,2025-01-17 13:34:08,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,50 ,--
121,2025-01-17 13:34:11,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
122,2025-01-17 13:34:12,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,80 ,--
123,2025-01-17 14:33:49,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
124,2025-01-17 14:33:49,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,11 ,--
125,2025-01-17 14:36:33,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
126,2025-01-17 14:36:33,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,11 ,80 ,--
127,2025-01-17 15:16:06,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
128,2025-01-17 15:25:12,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee78,Leew,--
129,2025-01-17 15:25:12,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
130,2025-01-17 15:25:52,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Leew,zxc,--
131,2025-01-17 15:25:53,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
132,2025-01-20 09:07:38,超级管理员,--,测量参数-调试参数-方法名称 更改 ,zxc,79,--
133,2025-01-20 09:07:38,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
134,2025-01-20 09:10:26,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,开,关,--
135,2025-01-20 09:10:26,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,1 ,--
136,2025-01-20 09:10:26,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,0.500000 ,--
137,2025-01-20 09:10:26,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
138,2025-01-20 09:43:08,超级管理员,--,TC泵正转,关,开,--
139,2025-01-20 09:58:21,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,关,开,--
140,2025-01-20 09:58:22,超级管理员,--,测量参数-调试参数-方法名称 更改 ,79,Fxxk,--
141,2025-01-20 09:58:22,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
142,2025-01-20 09:58:22,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.500000 ,2.000000 ,--
143,2025-01-20 09:58:22,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,2.000000 ,--
144,2025-01-20 09:58:22,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,50 ,--
145,2025-01-20 09:59:00,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Fxxk,Lew,--
146,2025-01-20 09:59:01,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
147,2025-01-20 09:59:01,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
148,2025-01-20 09:59:01,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,80 ,--
149,2025-01-20 09:59:10,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lew,zxc,--
150,2025-01-20 09:59:42,超级管理员,--,测量参数-调试参数-方法名称 更改 ,zxc,Lee06,--
151,2025-01-20 09:59:42,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
152,2025-01-20 09:59:42,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,0.100000 ,--
153,2025-01-20 10:00:01,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,1 ,--
154,2025-01-20 10:00:01,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.100000 ,1.000000 ,--
155,2025-01-20 10:00:01,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
156,2025-01-20 14:42:05,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
157,2025-01-20 14:42:05,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,10 ,--
158,2025-01-20 14:42:05,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,0.200000 ,--
159,2025-01-20 14:42:05,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,0.200000 ,--
160,2025-01-20 14:42:05,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee06,default,--
161,2025-01-20 16:34:18,超级管理员,--,测量参数-调试参数-方法名称 更改 ,default,默认,--
162,2025-01-20 16:35:27,超级管理员,--,测量参数-调试参数-方法名称 更改 ,默认,default,--
163,2025-01-20 16:52:55,超级管理员,--,测量参数-调试参数-方法名称 更改 ,default,默认,--
164,2025-01-20 16:59:16,超级管理员,--,测量参数-调试参数-方法名称 更改 ,默认,ee,--
165,2025-01-20 17:02:38,超级管理员,--,测量参数-调试参数-方法名称 更改 ,ee,默认,--
166,2025-01-20 17:16:36,超级管理员,--,测量参数-调试参数-方法名称 更改 ,默认,default,--
167,2025-01-20 17:38:38,超级管理员,--,测量参数-调试参数-方法名称 更改 ,default,默认,--
168,2025-01-20 17:44:45,超级管理员,--,测量参数-调试参数-方法名称 更改 ,默认,Lee06,--
169,2025-01-20 17:44:45,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
170,2025-01-20 17:44:45,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.200000 ,1.000000 ,--
171,2025-01-20 17:44:46,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,0.200000 ,1.000000 ,--
172,2025-01-20 17:44:46,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,10 ,1 ,--
173,2025-01-20 17:45:38,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee06,default,--
174,2025-01-20 17:45:38,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
175,2025-01-20 17:45:38,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,0.200000 ,--
176,2025-01-20 17:45:38,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,0.200000 ,--
177,2025-01-20 17:45:38,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,10 ,--
178,2025-01-20 17:52:06,超级管理员,--,测量参数-调试参数-方法名称 更改 ,default,Lee06,--
179,2025-01-20 17:52:06,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
180,2025-01-20 17:52:06,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.200000 ,1.000000 ,--
181,2025-01-20 17:52:07,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,0.200000 ,1.000000 ,--
182,2025-01-20 17:52:07,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,10 ,1 ,--
183,2025-01-20 17:56:05,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee06,default,--
184,2025-01-20 17:56:05,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
185,2025-01-20 17:56:05,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,0.200000 ,--
186,2025-01-20 17:56:06,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,0.200000 ,--
187,2025-01-20 17:56:06,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,10 ,--
188,2025-01-20 18:10:29,超级管理员,--,测量参数-调试参数-方法名称 更改 ,default,ee,--
189,2025-01-21 08:34:47,超级管理员,--,测量参数-调试参数-方法名称 更改 ,ee,Leew,--
190,2025-01-21 08:34:48,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
191,2025-01-21 08:34:48,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.200000 ,2.000000 ,--
192,2025-01-21 08:34:48,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,0.200000 ,2.000000 ,--
193,2025-01-21 08:34:48,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,10 ,80 ,--
194,2025-01-21 08:34:54,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Leew,Fxxk,--
195,2025-01-21 08:34:54,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
196,2025-01-21 08:34:55,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,50 ,--
197,2025-01-21 09:11:44,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Fxxk,Lee06,--
198,2025-01-21 09:11:44,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
199,2025-01-21 09:11:44,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,1.000000 ,--
200,2025-01-21 09:11:44,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
201,2025-01-21 09:11:44,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,1 ,--
202,2025-01-21 09:29:18,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee06,Fxxk,--
203,2025-01-21 09:29:18,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
204,2025-01-21 09:29:18,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,2.000000 ,--
205,2025-01-21 09:29:18,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,2.000000 ,--
206,2025-01-21 09:29:18,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,50 ,--
207,2025-01-21 09:29:44,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Fxxk,Lee06,--
208,2025-01-21 09:29:44,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
209,2025-01-21 09:29:44,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,1.000000 ,--
210,2025-01-21 09:29:45,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
211,2025-01-21 09:29:45,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,1 ,--
212,2025-01-21 09:30:18,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee06,77,--
213,2025-01-21 09:30:18,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
214,2025-01-21 09:30:18,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
215,2025-01-21 09:30:18,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,2.000000 ,--
216,2025-01-21 09:30:18,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,2.000000 ,--
217,2025-01-21 09:30:19,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,80 ,--
218,2025-01-21 09:37:46,超级管理员,--,测量参数-调试参数-方法名称 更改 ,77,Lee06,--
219,2025-01-21 09:37:46,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
220,2025-01-21 09:37:46,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
221,2025-01-21 09:37:46,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,0.100000 ,--
222,2025-01-21 09:42:33,超级管理员,--,耗材管理-更换泵,--,2025-01-21 09:42:33,--
223,2025-01-21 09:42:53,超级管理员,--,耗材管理-更换紫外灯,--,2025-01-21 09:42:53,--
224,2025-01-21 09:42:58,超级管理员,--,耗材管理-更换树脂层,--,2025-01-21 09:42:58,--
225,2025-01-22 08:50:22,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Lee06,79,--
226,2025-01-22 08:50:22,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
227,2025-01-22 08:50:22,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
228,2025-01-22 08:50:22,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.100000 ,2.000000 ,--
229,2025-01-22 08:50:29,超级管理员,--,测量参数-调试参数-方法名称 更改 ,79,78,--
230,2025-01-22 08:51:05,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,开,关,--
231,2025-01-22 08:51:05,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
232,2025-01-22 08:51:06,超级管理员,--,测量参数-调试参数-TOC测量 更改 ,关,开,--
233,2025-01-22 08:51:06,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,1 ,--
234,2025-01-22 08:51:06,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,1.000000 ,--
235,2025-01-22 08:51:06,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
236,2025-01-22 08:51:06,超级管理员,--,测量参数-调试参数-方法名称 更改 ,78,默认,--
237,2025-01-22 09:00:04,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,关,开,--
238,2025-01-22 09:00:04,超级管理员,--,测量参数-调试参数-方法名称 更改 ,默认,Fxxk,--
239,2025-01-22 09:00:04,超级管理员,--,测量参数-调试参数-TOC测量 更改 ,开,关,--
240,2025-01-22 09:00:04,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,2.000000 ,--
241,2025-01-22 09:00:04,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,2.000000 ,--
242,2025-01-22 09:00:04,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,50 ,--
243,2025-01-22 09:00:51,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,1 ,--
244,2025-01-22 09:00:51,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,1.000000 ,--
245,2025-01-22 09:00:51,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
246,2025-01-22 09:00:51,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Fxxk,默认,--
247,2025-01-22 10:24:39,超级管理员,--,测量参数-调试参数-方法名称 更改 ,默认,Fxxk,--
248,2025-01-22 10:24:39,超级管理员,--,测量参数-调试参数-酸剂 更改 ,1.000000 ,2.000000 ,--
249,2025-01-22 10:24:39,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,1.000000 ,2.000000 ,--
250,2025-01-22 10:24:40,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,1 ,50 ,--
251,2025-01-22 10:24:56,超级管理员,--,测量参数-调试参数-方法名称 更改 ,Fxxk,default,--
252,2025-01-22 10:24:56,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
253,2025-01-22 10:24:56,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
254,2025-01-22 10:24:56,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,0.200000 ,--
255,2025-01-22 10:24:57,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,0.200000 ,--
256,2025-01-22 10:24:57,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,50 ,10 ,--
257,2025-01-22 10:27:52,超级管理员,--,测量参数-调试参数-方法名称 更改 ,default,79,--
258,2025-01-22 10:27:53,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,关,开,--
